ID,Address,City,State,Country,Lat,Long
100220,914 W James St, Austin, TX 78704, USA,30.2545499,-97.7579365
100221,1111 W Monroe St, Austin, TX 78704, USA,30.251953,-97.761978
100222,1020 W Milton St, Austin, TX 78704, USA,30.251623,-97.76218999999999
100223,1111 Jewell St, Austin, TX 78704, USA,30.25268999999999,-97.761505
100224,1110 W Monroe St, Austin, TX 78704, USA,30.252348,-97.76172799999999
100226,2103 Kinney Ave, Austin, TX 78704, USA,30.2491222,-97.76996079999999
100228,2007 Kinney Ave, Austin, TX 78704, USA,30.2498218,-97.76949379999999
100229,1517 Hether St, Austin, TX 78704, USA,30.25028229999999,-97.7692816
100231,2024 S Lamar Blvd, Austin, TX 78704, USA,30.2492593,-97.7684725
100232,2010 S Lamar Blvd, Austin, TX 78704, USA,30.2494283,-97.76819900000001
100235,2044 S Lamar Blvd, Austin, TX 78704, USA,30.2488565,-97.7691542
100236,2050 S Lamar Blvd, Austin, TX 78704, USA,30.2488576,-97.7694136
100237,2058 S Lamar Blvd, Austin, TX 78704, USA,30.2488711,-97.7696637
100238,2068 S Lamar Blvd, Austin, TX 78704, USA,30.2486745,-97.76993279999999
100239,2032 S Lamar Blvd, Austin, TX 78704, USA,30.2493166,-97.7687615
100240,2038 S Lamar Blvd, Austin, TX 78704, USA,30.2489401,-97.7688783
100241,2032 S Lamar Blvd, Austin, TX 78704, USA,30.2493166,-97.7687615
100242,2013 Kinney Ave, Austin, TX 78704, USA,30.2494378,-97.76973799999999
100243,2009 Kinney Ave, Austin, TX 78704, USA,30.2495928,-97.76957879999999
100244,1513 Hether St, Austin, TX 78704, USA,30.250038,-97.7690587
100245,1511 Hether St, Austin, TX 78704, USA,30.2499914,-97.76889949999999
100246,2072 S Lamar Blvd, Austin, TX 78704, USA,30.2486118,-97.770258
100247,2107 Kinney Ave, Austin, TX 78704, USA,30.24849,-97.770414
100248,1811 Kinney Ave, Austin, TX 78704, USA,30.251308,-97.7686023
100249,1711 Kinney Ave, Austin, TX 78704, USA,30.2522797,-97.7678912
100250,1703 Kinney Ave, Austin, TX 78704, USA,30.2526328,-97.7674136
100251,1401 Collier St, Austin, TX 78704, USA,30.252357,-97.7667768
100255,1706 S Lamar Blvd, Austin, TX 78704, USA,30.250506,-97.76626739999999
